case_id,case_type,court_name,ipc_section,duration_months,evidence_strength_score,prior_offenses,claimed_amount_inr,predicted_win_probability,case_outcome
CAS-2026-1425,Cheque Bounce u/s 138,Karnataka High Court,NI Act 138 (Cheque Bounce),27,0.84,2,1458454,72.1,Case Dismissed
CAS-2026-1426,Bail Application,Madras High Court,IT Act 66D,16,0.97,0,7789969,58.0,Case Dismissed
CAS-2026-1427,Cheque Bounce u/s 138,Karnataka High Court,IPC 379 (Theft),6,0.46,0,3971018,74.4,Bail Granted
CAS-2026-1428,Cyber Fraud,Karnataka High Court,IT Act 66D,40,0.18,0,9559412,58.1,Injunction Issued
CAS-2026-1429,Divorce & Maintenance,Supreme Court of India,IPC 420 (Cheating),13,0.16,0,6512083,94.2,Bail Granted
CAS-2026-1430,Divorce & Maintenance,Delhi High Court,IPC 498A (Cruelty),35,0.89,2,7975639,60.5,Bail Granted
CAS-2026-1431,Cyber Fraud,Karnataka High Court,IPC 307 (Attempt to Murder),19,0.51,0,5110281,57.1,Settlement Agreed
CAS-2026-1432,Bail Application,District & Sessions Court,IPC 498A (Cruelty),12,0.38,1,7798812,58.9,Bail Granted
CAS-2026-1433,Criminal Breach of Trust,Karnataka High Court,IPC 498A (Cruelty),16,0.52,1,6907643,89.8,Bail Denied
CAS-2026-1434,Property Dispute,Bombay High Court,IPC 120B (Criminal Conspiracy),43,0.38,0,5310558,76.8,Case Dismissed
CAS-2026-1435,Bail Application,Delhi High Court,IPC 498A (Cruelty),10,0.54,0,6059996,81.5,Bail Granted
CAS-2026-1436,Property Dispute,Bombay High Court,IPC 498A (Cruelty),25,0.87,0,2489911,90.9,Bail Denied
CAS-2026-1437,Cyber Fraud,Delhi High Court,IPC 379 (Theft),20,0.63,0,8240210,90.6,Injunction Issued
CAS-2026-1438,Contract Violation,Bombay High Court,IPC 307 (Attempt to Murder),31,0.72,0,1826681,81.9,Case Dismissed
CAS-2026-1439,Property Dispute,Karnataka High Court,IPC 379 (Theft),4,0.42,2,6654845,54.9,Injunction Issued
CAS-2026-1440,Criminal Breach of Trust,Karnataka High Court,IPC 379 (Theft),44,0.76,3,217408,87.2,Bail Denied
CAS-2026-1441,Contract Violation,Supreme Court of India,IPC 420 (Cheating),23,0.69,0,736431,55.2,Injunction Issued
CAS-2026-1442,Property Dispute,District & Sessions Court,IPC 379 (Theft),2,0.21,0,3535504,82.1,Injunction Issued
CAS-2026-1443,Cyber Fraud,Bombay High Court,IPC 120B (Criminal Conspiracy),22,0.61,1,9287896,79.3,Injunction Issued
CAS-2026-1444,Contract Violation,Madras High Court,IPC 120B (Criminal Conspiracy),37,0.33,0,1336541,82.9,Bail Granted
CAS-2026-1445,Cyber Fraud,Supreme Court of India,IT Act 66D,8,0.82,1,2136721,71.6,Bail Granted
CAS-2026-1446,Property Dispute,Bombay High Court,IPC 420 (Cheating),7,0.48,0,6187494,76.9,Bail Granted
CAS-2026-1447,Cyber Fraud,Bombay High Court,IT Act 66D,14,0.99,0,6263185,92.7,Case Dismissed
CAS-2026-1448,Criminal Breach of Trust,Supreme Court of India,IT Act 66D,3,0.18,1,8806406,50.1,Bail Denied
CAS-2026-1449,Property Dispute,Karnataka High Court,NI Act 138 (Cheque Bounce),16,0.79,0,9739830,60.4,Bail Granted
CAS-2026-1450,Property Dispute,Bombay High Court,IPC 307 (Attempt to Murder),19,0.7,2,8979391,75.6,Injunction Issued
CAS-2026-1451,Property Dispute,Karnataka High Court,IPC 307 (Attempt to Murder),18,0.78,2,5136117,93.2,Injunction Issued
CAS-2026-1452,Bail Application,Supreme Court of India,IPC 379 (Theft),16,0.37,0,1207177,49.8,Injunction Issued
CAS-2026-1453,Bail Application,Karnataka High Court,IPC 379 (Theft),8,0.54,0,9275404,46.1,Injunction Issued
CAS-2026-1454,Bail Application,Delhi High Court,NI Act 138 (Cheque Bounce),33,0.81,3,5508520,47.8,Settlement Agreed
CAS-2026-1455,Criminal Breach of Trust,Madras High Court,IPC 379 (Theft),12,0.31,2,4759014,47.6,Case Dismissed
CAS-2026-1456,Contract Violation,Bombay High Court,IPC 307 (Attempt to Murder),11,0.3,0,8170024,90.4,Bail Denied
CAS-2026-1457,Cyber Fraud,District & Sessions Court,IT Act 66D,5,0.59,1,5612460,81.1,Bail Denied
CAS-2026-1458,Divorce & Maintenance,Madras High Court,IPC 498A (Cruelty),27,0.57,0,3594585,78.9,Bail Granted
CAS-2026-1459,Property Dispute,Karnataka High Court,IPC 120B (Criminal Conspiracy),12,0.35,0,2092834,71.1,Settlement Agreed
CAS-2026-1460,Cyber Fraud,Bombay High Court,IPC 498A (Cruelty),17,0.37,1,5406175,84.1,Bail Denied
CAS-2026-1461,Property Dispute,Karnataka High Court,IPC 498A (Cruelty),6,0.35,0,5748734,52.8,Case Dismissed
CAS-2026-1462,Criminal Breach of Trust,Delhi High Court,IPC 307 (Attempt to Murder),33,0.79,2,5294914,64.6,Injunction Issued
CAS-2026-1463,Property Dispute,Supreme Court of India,IPC 498A (Cruelty),5,0.68,0,4816302,69.5,Bail Granted
CAS-2026-1464,Bail Application,Bombay High Court,NI Act 138 (Cheque Bounce),28,0.84,0,2573055,50.5,Case Dismissed
CAS-2026-1465,Divorce & Maintenance,Delhi High Court,IPC 420 (Cheating),14,0.97,0,1427877,66.0,Bail Denied
CAS-2026-1466,Cheque Bounce u/s 138,Delhi High Court,IPC 379 (Theft),5,0.52,0,7616669,60.8,Settlement Agreed
CAS-2026-1467,Property Dispute,Bombay High Court,IPC 420 (Cheating),33,0.16,0,7116812,46.8,Bail Granted
CAS-2026-1468,Cyber Fraud,Karnataka High Court,IT Act 66D,41,0.14,0,2787328,51.8,Bail Denied
CAS-2026-1469,Bail Application,District & Sessions Court,IPC 120B (Criminal Conspiracy),19,0.36,0,6578623,83.2,Bail Granted
CAS-2026-1470,Cheque Bounce u/s 138,Delhi High Court,IPC 379 (Theft),22,0.93,0,1999955,45.9,Bail Denied
CAS-2026-1471,Divorce & Maintenance,Madras High Court,IPC 498A (Cruelty),5,0.57,0,4298811,91.7,Injunction Issued
CAS-2026-1472,Cheque Bounce u/s 138,Delhi High Court,IPC 120B (Criminal Conspiracy),2,0.34,1,6232446,49.3,Settlement Agreed
CAS-2026-1473,Bail Application,District & Sessions Court,IPC 379 (Theft),30,0.46,0,772225,85.0,Injunction Issued
CAS-2026-1474,Contract Violation,Karnataka High Court,NI Act 138 (Cheque Bounce),47,0.63,0,3610463,89.9,Bail Denied
CAS-2026-1475,Contract Violation,Karnataka High Court,NI Act 138 (Cheque Bounce),39,0.68,0,9928942,92.1,Case Dismissed
CAS-2026-1476,Cheque Bounce u/s 138,Madras High Court,NI Act 138 (Cheque Bounce),4,0.24,0,3170610,88.4,Injunction Issued
CAS-2026-1477,Criminal Breach of Trust,Delhi High Court,NI Act 138 (Cheque Bounce),33,0.97,0,8886301,59.4,Case Dismissed
CAS-2026-1478,Cyber Fraud,Karnataka High Court,IPC 498A (Cruelty),13,0.58,0,3832238,61.7,Bail Denied
CAS-2026-1479,Cyber Fraud,District & Sessions Court,IPC 420 (Cheating),20,0.22,0,2072613,66.3,Settlement Agreed
CAS-2026-1480,Cheque Bounce u/s 138,Bombay High Court,IPC 379 (Theft),7,0.9,1,8406931,52.0,Case Dismissed
CAS-2026-1481,Property Dispute,Supreme Court of India,IPC 498A (Cruelty),15,0.17,1,3435705,46.1,Bail Denied
CAS-2026-1482,Property Dispute,Supreme Court of India,NI Act 138 (Cheque Bounce),23,0.91,0,5512049,88.5,Case Dismissed
CAS-2026-1483,Cyber Fraud,Supreme Court of India,IT Act 66D,14,0.99,0,1444091,72.7,Injunction Issued
CAS-2026-1484,Cyber Fraud,Delhi High Court,IPC 420 (Cheating),23,0.72,0,504470,75.4,Bail Denied
CAS-2026-1485,Contract Violation,Madras High Court,IT Act 66D,19,0.79,0,4429394,91.3,Injunction Issued
CAS-2026-1486,Criminal Breach of Trust,Karnataka High Court,IPC 120B (Criminal Conspiracy),29,0.4,0,891624,78.3,Bail Granted
CAS-2026-1487,Bail Application,Bombay High Court,IT Act 66D,20,0.94,0,7179903,79.5,Bail Denied
CAS-2026-1488,Property Dispute,District & Sessions Court,IPC 120B (Criminal Conspiracy),29,0.57,0,5188890,84.3,Case Dismissed
CAS-2026-1489,Cyber Fraud,Bombay High Court,IPC 120B (Criminal Conspiracy),24,0.75,0,1701207,50.8,Bail Granted
CAS-2026-1490,Contract Violation,District & Sessions Court,NI Act 138 (Cheque Bounce),18,0.92,0,5348709,63.0,Injunction Issued
CAS-2026-1491,Divorce & Maintenance,Delhi High Court,IPC 120B (Criminal Conspiracy),10,0.97,0,3095035,93.4,Injunction Issued
CAS-2026-1492,Contract Violation,Supreme Court of India,IPC 307 (Attempt to Murder),41,0.84,0,6303690,91.1,Case Dismissed
CAS-2026-1493,Property Dispute,Delhi High Court,IPC 379 (Theft),8,0.37,0,584427,89.2,Bail Granted
CAS-2026-1494,Property Dispute,Madras High Court,IPC 379 (Theft),26,0.96,0,4058905,67.6,Settlement Agreed
CAS-2026-1495,Contract Violation,Madras High Court,NI Act 138 (Cheque Bounce),29,0.66,0,4183372,87.9,Case Dismissed
CAS-2026-1496,Bail Application,District & Sessions Court,IPC 307 (Attempt to Murder),10,0.93,0,1209229,47.4,Injunction Issued
CAS-2026-1497,Cheque Bounce u/s 138,Karnataka High Court,IT Act 66D,17,0.7,0,3993623,52.4,Bail Denied
CAS-2026-1498,Property Dispute,Karnataka High Court,IPC 498A (Cruelty),2,0.37,0,6291081,65.7,Bail Granted
CAS-2026-1499,Contract Violation,District & Sessions Court,IT Act 66D,6,0.43,0,2189884,69.2,Settlement Agreed
CAS-2026-1500,Cyber Fraud,Madras High Court,IPC 498A (Cruelty),5,0.59,0,4304099,58.2,Bail Denied
CAS-2026-1501,Contract Violation,Madras High Court,IPC 120B (Criminal Conspiracy),28,0.8,0,8409740,62.8,Bail Granted
CAS-2026-1502,Criminal Breach of Trust,Madras High Court,IPC 420 (Cheating),41,0.38,0,7373820,53.1,Case Dismissed
CAS-2026-1503,Cheque Bounce u/s 138,Delhi High Court,IPC 498A (Cruelty),5,0.62,0,4921699,69.5,Case Dismissed
CAS-2026-1504,Divorce & Maintenance,Madras High Court,IPC 420 (Cheating),18,0.41,0,6705129,84.7,Bail Granted
CAS-2026-1505,Bail Application,Bombay High Court,IPC 379 (Theft),26,0.83,1,6272056,78.1,Settlement Agreed
CAS-2026-1506,Divorce & Maintenance,Supreme Court of India,IPC 420 (Cheating),20,0.52,0,1596030,50.4,Bail Granted
CAS-2026-1507,Cheque Bounce u/s 138,Madras High Court,IPC 379 (Theft),41,0.17,0,111009,69.4,Bail Denied
CAS-2026-1508,Cheque Bounce u/s 138,District & Sessions Court,IPC 307 (Attempt to Murder),27,0.25,1,4472472,79.9,Bail Denied
CAS-2026-1509,Cheque Bounce u/s 138,Supreme Court of India,IPC 307 (Attempt to Murder),12,0.15,1,1823480,71.5,Case Dismissed
CAS-2026-1510,Divorce & Maintenance,Delhi High Court,NI Act 138 (Cheque Bounce),7,0.54,0,8413264,64.6,Bail Granted
CAS-2026-1511,Cyber Fraud,District & Sessions Court,NI Act 138 (Cheque Bounce),3,0.19,0,3799397,76.1,Case Dismissed
CAS-2026-1512,Cheque Bounce u/s 138,Supreme Court of India,IPC 120B (Criminal Conspiracy),10,0.2,0,2091367,93.4,Settlement Agreed
CAS-2026-1513,Contract Violation,District & Sessions Court,IPC 498A (Cruelty),34,0.94,0,5669634,49.7,Bail Denied
CAS-2026-1514,Divorce & Maintenance,Delhi High Court,IPC 120B (Criminal Conspiracy),25,0.88,0,8818936,64.5,Injunction Issued
CAS-2026-1515,Cheque Bounce u/s 138,Bombay High Court,IPC 379 (Theft),35,0.5,0,4509013,65.3,Injunction Issued
CAS-2026-1516,Contract Violation,Delhi High Court,IPC 120B (Criminal Conspiracy),16,0.98,0,2808668,73.8,Bail Granted
CAS-2026-1517,Cyber Fraud,Delhi High Court,IPC 420 (Cheating),2,0.1,2,5153679,52.6,Bail Granted
CAS-2026-1518,Criminal Breach of Trust,District & Sessions Court,IPC 379 (Theft),24,0.65,2,1100294,53.8,Injunction Issued
CAS-2026-1519,Cyber Fraud,Karnataka High Court,NI Act 138 (Cheque Bounce),10,0.65,0,5758307,59.3,Bail Granted
CAS-2026-1520,Cheque Bounce u/s 138,Madras High Court,IPC 307 (Attempt to Murder),38,0.51,0,9435592,92.8,Bail Denied
CAS-2026-1521,Divorce & Maintenance,Madras High Court,NI Act 138 (Cheque Bounce),22,0.45,0,8274244,81.7,Settlement Agreed
CAS-2026-1522,Property Dispute,Bombay High Court,IPC 498A (Cruelty),26,0.51,1,2385362,78.1,Settlement Agreed
CAS-2026-1523,Cheque Bounce u/s 138,Bombay High Court,IPC 379 (Theft),43,0.47,0,2942894,85.8,Case Dismissed
CAS-2026-1524,Property Dispute,Madras High Court,IPC 379 (Theft),39,0.75,0,8665873,51.4,Bail Denied
CAS-2026-1525,Contract Violation,Karnataka High Court,IPC 420 (Cheating),27,0.22,0,7960791,88.0,Bail Granted
CAS-2026-1526,Criminal Breach of Trust,Madras High Court,IPC 498A (Cruelty),29,0.28,0,3136773,74.7,Bail Granted
CAS-2026-1527,Bail Application,Karnataka High Court,IPC 307 (Attempt to Murder),47,0.26,0,4484432,61.8,Case Dismissed
CAS-2026-1528,Cyber Fraud,Bombay High Court,IT Act 66D,38,0.33,1,1790792,85.8,Case Dismissed
CAS-2026-1529,Criminal Breach of Trust,Supreme Court of India,IPC 379 (Theft),20,0.57,0,1731570,85.1,Bail Granted
CAS-2026-1530,Cheque Bounce u/s 138,District & Sessions Court,IPC 379 (Theft),27,0.2,0,4873598,87.3,Bail Granted
CAS-2026-1531,Property Dispute,Bombay High Court,IPC 420 (Cheating),41,0.87,0,1760102,50.8,Bail Denied
CAS-2026-1532,Cyber Fraud,Bombay High Court,IPC 120B (Criminal Conspiracy),20,0.36,0,1611710,93.5,Case Dismissed
CAS-2026-1533,Property Dispute,Delhi High Court,IPC 307 (Attempt to Murder),44,0.24,1,7376281,93.0,Bail Denied
CAS-2026-1534,Divorce & Maintenance,Delhi High Court,NI Act 138 (Cheque Bounce),19,0.7,2,9320838,62.9,Bail Granted
CAS-2026-1535,Property Dispute,Delhi High Court,IPC 498A (Cruelty),20,0.13,3,916609,48.3,Injunction Issued
CAS-2026-1536,Divorce & Maintenance,District & Sessions Court,IPC 379 (Theft),35,0.65,1,4684470,53.4,Injunction Issued
CAS-2026-1537,Contract Violation,Delhi High Court,IPC 379 (Theft),47,0.72,0,6907087,94.6,Bail Granted
CAS-2026-1538,Cyber Fraud,Karnataka High Court,NI Act 138 (Cheque Bounce),2,0.29,0,4162316,73.2,Case Dismissed
CAS-2026-1539,Cyber Fraud,Madras High Court,IPC 307 (Attempt to Murder),30,0.14,0,5687239,62.8,Injunction Issued
CAS-2026-1540,Bail Application,Supreme Court of India,IPC 120B (Criminal Conspiracy),34,0.42,2,1755464,59.4,Case Dismissed
CAS-2026-1541,Cheque Bounce u/s 138,Bombay High Court,IPC 379 (Theft),22,0.19,0,9895427,57.8,Injunction Issued
CAS-2026-1542,Divorce & Maintenance,Karnataka High Court,IPC 307 (Attempt to Murder),3,0.2,0,8477114,78.2,Case Dismissed
CAS-2026-1543,Bail Application,Supreme Court of India,NI Act 138 (Cheque Bounce),6,0.33,1,8456164,66.0,Injunction Issued
CAS-2026-1544,Property Dispute,Karnataka High Court,IPC 420 (Cheating),15,0.36,0,978835,93.3,Case Dismissed
CAS-2026-1545,Property Dispute,Karnataka High Court,IPC 120B (Criminal Conspiracy),27,0.57,0,9112186,79.2,Bail Denied
CAS-2026-1546,Bail Application,Bombay High Court,IPC 498A (Cruelty),10,0.7,0,7656142,84.6,Case Dismissed
CAS-2026-1547,Cyber Fraud,Madras High Court,IPC 379 (Theft),9,0.63,0,3377560,59.6,Bail Denied
CAS-2026-1548,Property Dispute,Delhi High Court,IPC 307 (Attempt to Murder),33,0.23,0,3269870,49.0,Bail Denied
CAS-2026-1549,Contract Violation,District & Sessions Court,IPC 420 (Cheating),32,0.25,1,5188268,69.4,Bail Granted
CAS-2026-1550,Contract Violation,Madras High Court,IPC 498A (Cruelty),6,0.88,0,7379995,60.7,Bail Denied
CAS-2026-1551,Bail Application,District & Sessions Court,IT Act 66D,41,0.6,3,6522892,55.1,Settlement Agreed
CAS-2026-1552,Divorce & Maintenance,Bombay High Court,IPC 307 (Attempt to Murder),36,0.87,0,2479093,92.6,Bail Denied
CAS-2026-1553,Divorce & Maintenance,Bombay High Court,IPC 307 (Attempt to Murder),2,0.43,0,5580283,67.2,Case Dismissed
CAS-2026-1554,Bail Application,Bombay High Court,IPC 498A (Cruelty),29,0.65,1,2860451,53.7,Bail Denied
CAS-2026-1555,Divorce & Maintenance,Supreme Court of India,IPC 420 (Cheating),4,0.57,0,9185997,54.9,Case Dismissed
CAS-2026-1556,Cyber Fraud,District & Sessions Court,IT Act 66D,1,0.38,0,6469553,59.0,Case Dismissed
CAS-2026-1557,Cyber Fraud,Madras High Court,NI Act 138 (Cheque Bounce),19,0.52,1,6532975,95.0,Settlement Agreed
CAS-2026-1558,Divorce & Maintenance,Madras High Court,IPC 420 (Cheating),26,0.55,0,4341244,58.4,Bail Denied
CAS-2026-1559,Contract Violation,Karnataka High Court,IPC 120B (Criminal Conspiracy),25,0.28,0,4004840,61.4,Bail Denied
CAS-2026-1560,Divorce & Maintenance,Karnataka High Court,IPC 379 (Theft),10,0.38,0,3920730,78.0,Injunction Issued
CAS-2026-1561,Cyber Fraud,Karnataka High Court,IPC 498A (Cruelty),15,0.8,0,2948411,59.7,Injunction Issued
CAS-2026-1562,Criminal Breach of Trust,Bombay High Court,NI Act 138 (Cheque Bounce),22,0.92,0,3444443,55.8,Bail Granted
CAS-2026-1563,Cheque Bounce u/s 138,Madras High Court,IT Act 66D,21,0.42,0,9545112,52.9,Case Dismissed
CAS-2026-1564,Property Dispute,District & Sessions Court,IPC 498A (Cruelty),22,0.37,1,2544149,60.6,Settlement Agreed
CAS-2026-1565,Criminal Breach of Trust,Bombay High Court,IPC 498A (Cruelty),36,0.27,2,7030358,50.3,Injunction Issued
CAS-2026-1566,Divorce & Maintenance,Supreme Court of India,IPC 420 (Cheating),34,0.7,0,2314669,45.9,Bail Denied
CAS-2026-1567,Contract Violation,Karnataka High Court,IPC 379 (Theft),30,0.39,0,7596121,85.2,Bail Granted
CAS-2026-1568,Bail Application,Bombay High Court,IPC 120B (Criminal Conspiracy),25,0.98,0,2054702,51.9,Settlement Agreed
CAS-2026-1569,Divorce & Maintenance,Bombay High Court,IPC 307 (Attempt to Murder),45,0.39,0,9588077,83.8,Bail Denied
CAS-2026-1570,Contract Violation,Supreme Court of India,IPC 307 (Attempt to Murder),28,0.45,0,9675779,84.9,Bail Denied
CAS-2026-1571,Cheque Bounce u/s 138,Delhi High Court,IPC 498A (Cruelty),1,0.64,1,3033361,71.9,Case Dismissed
CAS-2026-1572,Divorce & Maintenance,Madras High Court,IPC 379 (Theft),45,0.81,1,521655,60.5,Case Dismissed
CAS-2026-1573,Cyber Fraud,District & Sessions Court,IT Act 66D,4,0.52,0,5423940,52.3,Injunction Issued
CAS-2026-1574,Bail Application,Delhi High Court,IT Act 66D,7,0.48,0,899717,81.8,Injunction Issued
CAS-2026-1575,Contract Violation,Karnataka High Court,NI Act 138 (Cheque Bounce),9,0.99,0,5747069,75.1,Bail Denied
CAS-2026-1576,Contract Violation,Bombay High Court,IPC 420 (Cheating),36,0.11,0,2582266,77.8,Bail Denied
CAS-2026-1577,Contract Violation,Supreme Court of India,IPC 379 (Theft),19,0.9,0,1021806,45.4,Injunction Issued
CAS-2026-1578,Cheque Bounce u/s 138,Supreme Court of India,IPC 379 (Theft),1,0.23,3,5065440,91.4,Injunction Issued
CAS-2026-1579,Divorce & Maintenance,Madras High Court,IPC 420 (Cheating),10,0.8,0,9279651,48.3,Bail Denied
CAS-2026-1580,Cheque Bounce u/s 138,Delhi High Court,IT Act 66D,36,0.65,1,7973692,63.3,Settlement Agreed
CAS-2026-1581,Property Dispute,Madras High Court,IT Act 66D,9,0.4,0,1293728,65.1,Bail Denied
CAS-2026-1582,Property Dispute,Bombay High Court,IT Act 66D,45,0.88,0,5161354,45.1,Settlement Agreed
CAS-2026-1583,Divorce & Maintenance,Madras High Court,IPC 498A (Cruelty),46,0.11,0,7011957,69.9,Settlement Agreed
CAS-2026-1584,Cyber Fraud,District & Sessions Court,IPC 379 (Theft),42,0.3,0,1604329,82.6,Bail Denied
CAS-2026-1585,Cheque Bounce u/s 138,Supreme Court of India,IPC 307 (Attempt to Murder),32,0.6,0,1877850,86.2,Bail Granted
CAS-2026-1586,Bail Application,Supreme Court of India,IPC 420 (Cheating),32,0.41,0,6786269,89.0,Injunction Issued
CAS-2026-1587,Contract Violation,Karnataka High Court,IT Act 66D,6,0.64,1,635888,69.4,Case Dismissed
CAS-2026-1588,Contract Violation,Karnataka High Court,NI Act 138 (Cheque Bounce),38,0.12,0,7257303,76.5,Bail Denied
CAS-2026-1589,Divorce & Maintenance,Bombay High Court,IT Act 66D,17,0.2,0,4018446,49.0,Settlement Agreed
CAS-2026-1590,Cyber Fraud,District & Sessions Court,IT Act 66D,10,0.21,1,7071631,69.4,Bail Denied
CAS-2026-1591,Property Dispute,Delhi High Court,IPC 120B (Criminal Conspiracy),27,0.27,1,2302888,52.7,Injunction Issued
CAS-2026-1592,Property Dispute,Madras High Court,IPC 498A (Cruelty),35,0.51,1,6803562,63.5,Settlement Agreed
CAS-2026-1593,Contract Violation,Bombay High Court,IPC 420 (Cheating),21,0.77,0,2652192,61.5,Case Dismissed
CAS-2026-1594,Divorce & Maintenance,Karnataka High Court,IPC 120B (Criminal Conspiracy),25,0.91,2,8624405,66.2,Case Dismissed
CAS-2026-1595,Cheque Bounce u/s 138,Madras High Court,IPC 120B (Criminal Conspiracy),28,0.84,0,1824620,73.6,Case Dismissed
CAS-2026-1596,Property Dispute,Karnataka High Court,NI Act 138 (Cheque Bounce),47,0.28,0,5269719,90.1,Bail Granted
CAS-2026-1597,Cheque Bounce u/s 138,Madras High Court,IPC 379 (Theft),15,0.49,0,4930165,64.7,Settlement Agreed
CAS-2026-1598,Cyber Fraud,Delhi High Court,NI Act 138 (Cheque Bounce),4,0.28,0,6666692,94.1,Settlement Agreed
CAS-2026-1599,Property Dispute,Bombay High Court,IPC 379 (Theft),29,0.34,0,458062,83.0,Bail Granted
CAS-2026-1600,Property Dispute,Madras High Court,IPC 379 (Theft),9,0.55,0,7348730,70.6,Settlement Agreed
CAS-2026-1601,Criminal Breach of Trust,District & Sessions Court,IPC 420 (Cheating),27,0.16,0,2177645,77.2,Bail Granted
CAS-2026-1602,Property Dispute,Supreme Court of India,IT Act 66D,26,0.29,0,1501471,50.1,Bail Denied
CAS-2026-1603,Bail Application,District & Sessions Court,IPC 420 (Cheating),19,0.93,0,4879897,87.2,Injunction Issued
CAS-2026-1604,Divorce & Maintenance,District & Sessions Court,IPC 498A (Cruelty),28,0.51,1,1816548,74.1,Case Dismissed
CAS-2026-1605,Divorce & Maintenance,Supreme Court of India,IPC 379 (Theft),17,0.5,2,5052505,94.3,Bail Granted
CAS-2026-1606,Cheque Bounce u/s 138,District & Sessions Court,IPC 120B (Criminal Conspiracy),43,0.11,0,9506751,76.8,Bail Granted
CAS-2026-1607,Cyber Fraud,Madras High Court,IT Act 66D,41,0.32,1,4200321,86.7,Bail Granted
CAS-2026-1608,Property Dispute,Madras High Court,IPC 307 (Attempt to Murder),42,0.87,0,2197711,85.0,Bail Denied
CAS-2026-1609,Bail Application,Madras High Court,IPC 498A (Cruelty),20,0.25,0,6195561,62.3,Bail Granted
CAS-2026-1610,Cheque Bounce u/s 138,Supreme Court of India,IPC 420 (Cheating),45,0.47,0,137361,58.0,Injunction Issued
CAS-2026-1611,Criminal Breach of Trust,District & Sessions Court,NI Act 138 (Cheque Bounce),40,0.11,0,2998845,66.5,Injunction Issued
CAS-2026-1612,Cheque Bounce u/s 138,Supreme Court of India,IPC 498A (Cruelty),39,0.53,2,8246836,68.4,Case Dismissed
CAS-2026-1613,Cheque Bounce u/s 138,Madras High Court,IPC 498A (Cruelty),23,0.12,0,3563227,57.0,Bail Denied
CAS-2026-1614,Property Dispute,District & Sessions Court,IT Act 66D,47,0.83,0,8193068,89.7,Injunction Issued
CAS-2026-1615,Criminal Breach of Trust,District & Sessions Court,IPC 498A (Cruelty),32,0.83,0,2557856,72.1,Settlement Agreed
CAS-2026-1616,Cheque Bounce u/s 138,Karnataka High Court,IPC 498A (Cruelty),47,0.8,0,1861856,93.9,Settlement Agreed
CAS-2026-1617,Bail Application,Karnataka High Court,IPC 307 (Attempt to Murder),33,0.35,1,2441102,85.5,Settlement Agreed
CAS-2026-1618,Bail Application,Delhi High Court,NI Act 138 (Cheque Bounce),46,0.85,1,100037,72.8,Bail Granted
CAS-2026-1619,Divorce & Maintenance,Bombay High Court,NI Act 138 (Cheque Bounce),5,0.58,0,9110139,92.4,Bail Granted
CAS-2026-1620,Criminal Breach of Trust,Karnataka High Court,NI Act 138 (Cheque Bounce),43,0.43,1,6351936,70.2,Settlement Agreed
CAS-2026-1621,Criminal Breach of Trust,Supreme Court of India,IPC 379 (Theft),34,0.66,0,753668,89.4,Case Dismissed
CAS-2026-1622,Divorce & Maintenance,Karnataka High Court,IPC 120B (Criminal Conspiracy),40,0.11,3,3504158,62.9,Case Dismissed
CAS-2026-1623,Cheque Bounce u/s 138,Delhi High Court,NI Act 138 (Cheque Bounce),11,0.23,0,2756040,63.9,Bail Granted
CAS-2026-1624,Criminal Breach of Trust,District & Sessions Court,IPC 498A (Cruelty),3,0.76,0,803645,65.9,Settlement Agreed
CAS-2026-1625,Bail Application,Delhi High Court,IPC 498A (Cruelty),33,0.32,0,5011672,72.3,Case Dismissed
CAS-2026-1626,Bail Application,District & Sessions Court,NI Act 138 (Cheque Bounce),11,0.63,0,8315984,72.7,Bail Granted
CAS-2026-1627,Property Dispute,District & Sessions Court,IT Act 66D,16,0.44,0,8231631,69.8,Settlement Agreed
CAS-2026-1628,Criminal Breach of Trust,Bombay High Court,NI Act 138 (Cheque Bounce),18,0.86,0,9794535,60.3,Bail Denied
CAS-2026-1629,Cheque Bounce u/s 138,Karnataka High Court,IPC 498A (Cruelty),30,0.95,0,2721872,91.4,Settlement Agreed
CAS-2026-1630,Divorce & Maintenance,Supreme Court of India,IPC 379 (Theft),10,0.89,1,693975,74.4,Settlement Agreed
CAS-2026-1631,Divorce & Maintenance,Supreme Court of India,IPC 420 (Cheating),18,0.34,0,5152683,65.4,Injunction Issued
CAS-2026-1632,Cheque Bounce u/s 138,Madras High Court,IPC 420 (Cheating),38,0.27,0,4083063,77.6,Injunction Issued
CAS-2026-1633,Cyber Fraud,District & Sessions Court,NI Act 138 (Cheque Bounce),19,0.52,0,2382373,83.4,Bail Denied
CAS-2026-1634,Contract Violation,Supreme Court of India,IPC 307 (Attempt to Murder),36,0.11,1,2940152,93.0,Bail Denied
CAS-2026-1635,Property Dispute,Bombay High Court,NI Act 138 (Cheque Bounce),13,0.12,0,7627872,70.0,Settlement Agreed
CAS-2026-1636,Divorce & Maintenance,District & Sessions Court,IT Act 66D,46,0.59,2,2650552,50.6,Case Dismissed
CAS-2026-1637,Criminal Breach of Trust,Bombay High Court,NI Act 138 (Cheque Bounce),3,0.56,1,9340832,67.0,Bail Denied
CAS-2026-1638,Property Dispute,Supreme Court of India,IPC 420 (Cheating),10,0.99,0,2492735,68.9,Settlement Agreed
CAS-2026-1639,Criminal Breach of Trust,Supreme Court of India,IPC 498A (Cruelty),38,0.28,0,7604361,89.8,Bail Granted
